"{Adept}","{Brent Anderson,Peter B. Gillis}","Adept (Jelene Anderson) is a fictional character, a superhero in the Marvel Universe, member of the Strikeforce: Morituri.",,"https://upload.wikimedia.org/wikipedia/en/f/f4/Adept_Morituri.jpg","Adept","{}","{Enhanced strength}",0,0,197,0,0,"{Jelene Anderson}","{}","Adept","{Morituri}",,"https://en.wikipedia.org/wiki/Adept_(comics)"
"{White Queen}","{Jay Faerber,Terry Dodson}","Adrienne Frost is a fictional supervillain appearing in American comic books published by Marvel Universe, commonly in association with the X-Men.",,"https://upload.wikimedia.org/wikipedia/en/4/4b/Adriennefrost.jpg","Adrienne Frost","{}","{Psychometry,Psychometry (paranormal)}",0,0,923,0,0,"{}","{Mutant}","Adrienne Frost","{Generation X,Hellfire Club}",,"https://en.wikipedia.org/wiki/Adrienne_Frost"
"{Nazé,The Adversary,The Great Trickster}","{Chris Claremont,John Romita Jr.,John Romita, Jr.}","The Adversary is a fictional character, a demonic supervillain in the Marvel Comics universe.",,,"Adversary","{}","{Magical powers,Superhuman durability,Superhuman speed,Superhuman strength}",0,0,611,0,0,"{}","{}","Adversary","{}",,"https://en.wikipedia.org/wiki/Adversary_(comics)"
"{Aegis,Lady of All Sorrows,She of All Sorrows}","{Keith Giffen,Renato Arlem}","Aegis is a fictional character, a comic book cosmic entity published by Marvel Comics and appearing as an enemy of Galactus.",,"https://upload.wikimedia.org/wikipedia/en/e/ee/Aegis1.JPG","Aegis (Lady of All Sorrows)","{}","{Nigh,Nigh omnipotence,Omnipotence}",0,0,912,0,0,"{}","{}","Aegis","{Proemial Gods}",,"https://en.wikipedia.org/wiki/Aegis_(Lady_of_All_Sorrows)"
"{Aegis}","{Jay Faerber,Steve Scott}","For the cosmic entity who also went by the same name, see Aegis (Lady of All Sorrows)Aegis (Trey Rollins) is a fictional superhero in the Marvel Comics universe.",,"http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d/standard_xlarge.gif","Aegis","{}","{Energy blasts,Energy conversion,Force field generation}",0,0,419,0,0,"{Trey Jason Rollins}","{}","Aegis","{New Warriors}","http://marvel.com/characters/95/aegis","https://en.wikipedia.org/wiki/Aegis_(comics)"
"{Aftershock,Allison Dillon,Electra}","{Casey Jones,Sean McKeever}","Aftershock (Allison Dillon) is a fictional character, a supervillain that appears in the Marvel Comics' Spider-Girl series.",,"https://upload.wikimedia.org/wikipedia/en/e/ea/MC2Aftershock.jpg","Aftershock","{Electro}","{Electric,Electric manipulation,Force field generation,Magnetic levitation,Manipulation}",0,0,393,0,0,"{Allison Dillon}","{}","Aftershock","{}",,"https://en.wikipedia.org/wiki/Aftershock_(comics)"
"{Agamemnon,James,Vali Halfling}","{Dale Keown,Peter David}","Agamemnon is a fictional character in Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/1/18/AgamemnonC.jpg","Agamemnon","{}","{Genius analyzer,Immortality,Master battle strategist,Skilled magician,Spell caster}",0,0,710,0,0,"{}","{Half-Asgardian}","Agamemnon","{Pantheon}",,"https://en.wikipedia.org/wiki/Agamemnon_(comics)"
"{Pterorist,Sigrid}","{Frank Robbins,Gerry Conway,Jack Kirby,Jim Aparo,Joe Simon,Roy Thomas}","Agent Axis is the name of three fictional comic book supervillains, two from DC Comics and the other from Marvel Comics.",,,"Agent Axis","{}","{Combat ability,Combined knowledge,Skills}",0,0,321,0,0,"{Aldo Malvagio,Berthold Volker,Hiroyuki Kanegawa}","{}","Agent Axis","{}",,"https://en.wikipedia.org/wiki/Agent_Axis"
"{Agent X,Agent X Nijo Minamiyori,Alex Hayden}","{Alvin Lee,Gail Simone}","Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",,"https://upload.wikimedia.org/wikipedia/en/a/a9/Agent_X_03_Udon_Studios.jpg","Agent X","{}","{Agility,Coordination,Endurance,Expert marksman,Healing factor,Reflexes&reactions,Regenerative,Speed,Superhuman ambidexterity}",10,0,8714,3,15,"{Nijo Minamiyori}","{}","Agent X","{Agency X}","http://marvel.com/characters/101/agent_x","https://en.wikipedia.org/wiki/Agent_X_(Marvel_Comics)"
"{Ahab,Famine}","{Jackson Guice,Walt Simonson}","Ahab (Dr. Roderick 'Rory' Campbell), a fictional supervillain in the Marvel Comics universe.",,"https://upload.wikimedia.org/wikipedia/en/f/fb/XMEN_04122005_0001.jpg","Ahab","{}","{Energy harpoons,Superhuman strength}",0,0,1916,0,0,"{Roderick Campbell,Rory}","{}","Ahab","{Excalibur,Horsemen of Apocalypse,Hounds,MI-13,Sentinels}",,"https://en.wikipedia.org/wiki/Ahab_(comics)"
"{Ahura,Pope}","{Ann Nocenti,Bret Blevins}","Ahura is a fictional character that appears in the Marvel Universe and is a member of the Inhumans species.",,,"Ahura","{}","{Evil eye,Hypersonic scream,Initially,Later,Limited mind control,Telepathy}",0,0,1738,0,0,"{Ahura Boltagon}","{Inhumans}","Ahura","{Future Foundation,Inhuman Royal Family,Inhumans}",,"https://en.wikipedia.org/wiki/Ahura_(comics)"
"{Archangel Gabriel,Gabriel}","{John Buscema,Stan Lee}","The Air-Walker (Gabriel Lan) (also known as Gabriel the Air-Walker) is a fictional character that appears in comic books published by Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Thor-305.jpg/250px-Thor-305.jpg","Air-Walker","{}","{Galactus,Power cosmic}",0,0,1653,0,0,"{Gabriel Lan}","{Xandarian}","Air-Walker","{Galactus,Heralds of Galactus,Nova Corps}",,"https://en.wikipedia.org/wiki/Air-Walker"
"{Aireo,Skybreaker}","{Jack Kirby,Stan Lee}","Aireo is a fictional character appearing in American comic books published by Marvel Comics.",,,"Aireo","{}","{Aerokinesis,Flight}",0,0,495,0,0,"{Aireo}","{Inhumans}","Aireo","{Force of Nature,Inhumans}",,"https://en.wikipedia.org/wiki/Aireo"
"{Ajax the Greater,He Who Talks To Celestials,Lord of Flight,Quetzacoatl,Tecumotzin}","{Jack Kirby}","Ajak is a fictional character, a member of the Eternals, a race in the Marvel Comics universe.",,"http://x.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215/standard_xlarge.jpg","Ajak","{}","{Accelerated,Durability,Energy blasts,Flight,Healing factor,Strength,Superhuman speed,Teleportation}",0,0,968,0,0,"{}","{}","Ajak","{Eternals,God Squad}","http://marvel.com/characters/111/ajak","https://en.wikipedia.org/wiki/Ajak"
"{Ajax,The Attending}","{Dale Keown,Joe Kelly,Peter David,Walter A. McDaniel}","Ajax is the codename belonging to two different characters in Marvel Comics, one the descendant of a demigod, the other a mercenary.",,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Ajazpantheon.jpg/200px-Ajazpantheon.jpg","Ajax","{}","{Agility,Durability,Enhanced strength,Extended lifespan,High tolerance to pain,Intuitive capacity,Reflexes,Superhuman speed,Superhuman strength}",0,0,49286,0,0,"{Francis}","{}","Ajax","{Pantheon,Weapon X}",,"https://en.wikipedia.org/wiki/Ajax_(comics)"
"{Akasha,Akasha Martinez,Living Pharaoh,The Living Pharaoh}","{Richard Case,Todd Dezago}","Akasha (Akasha Martinez), also sometimes called The Living Pharaoh, is a fictional character in the Marvel Universe, a former enemy of Spider-Man who has been associated with Ahmet Abdol.",,,"Akasha","{}","{Abilities}",0,0,193,0,0,"{Akasha Martinez}","{}","Akasha","{}",,"https://en.wikipedia.org/wiki/Akasha_(comics)"
"{}","{Bob Harras,Paul Neary}","Al MacKenzie is a fictional character in Marvel Comics.",,,"Al MacKenzie","{}","{}",0,0,7028,0,0,"{Alphonso MacKenzie}","{}","Al MacKenzie","{C.I.A,S.H.I.E.L.D}",,"https://en.wikipedia.org/wiki/Al_MacKenzie"
"{Albert}","{Larry Hama,Marc Silvestri}","Albert is a fictional character appearing in Marvel Comics, and an ally of Wolverine.",,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Albert_and_elsie.jpg/200px-Albert_and_elsie.jpg","Albert","{Elsie-Dee}","{Analytical,Computational,Superhuman strength}",0,0,430,0,0,"{Albert Wright}","{}","Albert","{Reavers}",,"https://en.wikipedia.org/wiki/Albert_(comics)"
"{Albino}","{Jeff Johnson,Tom DeFalco}","Albino (Augusta Seger) is a fictional character, a supervillain in the Marvel Comics universe.",,"https://upload.wikimedia.org/wikipedia/en/d/d6/Albino.png","Albino","{}","{Invisibility}",0,0,173,0,0,"{Augusta Seger}","{}","Albino","{}",,"https://en.wikipedia.org/wiki/Albino_(comics)"
"{Aldrich Kilian}","{Adi Granov,Warren Ellis}","Aldrich Killian is a fictional character, a scientist appearing in American comic books published by Marvel Comics.The character of Aldrich Killian was adapted for the film Iron Man 3 where he is portrayed by actor Guy Pearce.",,,"Aldrich Killian","{}","{Genius-level intellect}",0,0,4905,0,0,"{}","{}","Aldrich Killian","{}",,"https://en.wikipedia.org/wiki/Aldrich_Killian"
"{Red Skull}","{Ed Brubaker,Steve Epting}","Aleksander Lukin (Russian: Александр Лукин) is a fictional character in Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/c/c7/Lukin.PNG","Aleksander Lukin","{}","{Political mastermind,Strategic genius}",0,0,1494,0,0,"{}","{}","Aleksander Lukin","{KGB,Kronas Corporation,Roxxon Energy Corporation,Roxxon Oil}",,"https://en.wikipedia.org/wiki/Aleksander_Lukin"
"{Destroyer,Gee,Mass Master,Powerhouse,Powerpax,Zero-G}","{June Brigman,Louise Simonson}","Alexander 'Alex' Power (also known as Zero-G) is a fictional character in Marvel Comics.",,"http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82/standard_xlarge.jpg","Alex Power","{}","{Acceleration/flight,Density,Disintegration,Energy absorption,Gravity manipulation,Healing powers,Projection,Size manipulation}",1,0,1144,1,1,"{Alexander Power}","{}","Alex Power","{Future Foundation,New Warriors,Power Pack}","http://marvel.com/characters/1387/alex_power","https://en.wikipedia.org/wiki/Alex_Power"
"{Alex Wilder}","{Adrian Alphona,Brian K. Vaughan}","Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",,"http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a/standard_xlarge.jpg","Alex Wilder","{}","{Advanced skill with,Advanced skill with logic,Logic,Strategy}",7,0,1438,2,7,"{Alex Wilder}","{}","Alex Wilder","{Pride,Runaways,The Pride,Young Masters}","http://marvel.com/characters/2820/alex_wilder","https://en.wikipedia.org/wiki/Alex_Wilder"
"{Alexander Bont,Kingpin,The Kingpin}","{Alex Maleev,Brian Michael Bendis}","Alexander Bont is a fictional character in the Marvel Comics universe, appearing in the series Daredevil.",,"https://upload.wikimedia.org/wikipedia/en/7/7c/Bontsilverage.JPG","Alexander Bont","{Fixer,Gladiator,The Fixer,The Gladiator}","{Extremely strong when on,Highly intelligent,Mutant growth hormone}",0,0,278,0,0,"{}","{}","Alexander Bont","{New York City,New York City criminal underground,criminal underground}",,"https://en.wikipedia.org/wiki/Alexander_Bont"
"{Doctor Spectrum}","{John Buscema,Roy Thomas}",,,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/IronMan-63.jpg/250px-IronMan-63.jpg","Alice Nugent","{}","{Energy projection,Flight,Intangibility,Manipulation}",0,0,48,0,0,"{}","{}","Alice Nugent","{Squadron Sinister,Squadron Supreme}",,"https://en.wikipedia.org/wiki/Alice_Nugent"
"{Spider-Slayer,The Ultimate Spider Slayer}","{Louise Simonson,Mary Wilshire}","Alistair Smythe is a comic book supervillain, owned by Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Alistair_Smythe%2C_The_Ultimate_Spider-Slayer.jpg/250px-Alistair_Smythe%2C_The_Ultimate_Spider-Slayer.jpg","Alistair Smythe","{}","{Agility,Bird-like talons,Cybernetics,Durability,Expert robotics,Geneticist,Speed,Superhuman strength,Web-shooter}",0,0,3001,0,0,"{Alistair Alphonso Smythe}","{}","Alistair Smythe","{}",,"https://en.wikipedia.org/wiki/Alistair_Smythe"
"{Alkhema,Alkhema-2,War Toy}","{Dann Thomas,David Ross,Roy Thomas,Tim Dzon}","Alkhema, also known as War Toy, is a fictional robot supervillain in the Marvel Universe.",,"https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Alkhema.jpg/250px-Alkhema.jpg","Alkhema","{}","{}",0,0,724,0,0,"{Alkhema}","{}","Alkhema","{}",,"https://en.wikipedia.org/wiki/Alkhema"
"{Alpha,Andrew 'Andy' Maguire,Andy Maguire,Nova,Speedball}","{Dan Slott,Humberto Ramos}","Alpha (Andrew 'Andy' Maguire) is a fictional character in Marvel Comics who first appeared in The Amazing Spider-Man.",,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Alpha-Marvel.jpg/250px-Alpha-Marvel.jpg","Alpha","{}","{Flight,Force fields,Matter manipulation,Super speed,Super strength,Superhuman senses,Telekinesis}",0,0,647,0,0,"{Andrew Maguire}","{Human}","Alpha","{}",,"https://en.wikipedia.org/wiki/Alpha_(Marvel_Comics)"
"{Alpha the Ultimate Mutant,actual identities the character uses}","{Len Wein,Sal Buscema}","Alpha the Ultimate Mutant is a fictional character in the Marvel Comics universe.",,"https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/AlphaMutant.jpg/250px-AlphaMutant.jpg","Alpha the Ultimate Mutant","{}","{Force field,Force field generation,Generation,Psychokinesis,Telekinesis,Telepathy,Teleportation}",0,0,983,0,0,"{Alpha}","{Mutant}","Alpha the Ultimate Mutant","{Brotherhood of Evil Mutants,Brotherhood of Mutants}",,"https://en.wikipedia.org/wiki/Alpha_the_Ultimate_Mutant"
"{Hulk,Iron Spider,Master Mind Excello,Mastermind Excello,Prince of Power}","{Greg Pak,Takeshi Miyazawa}","Amadeus Cho, also known as Mastermind Excello, is a fictional superhero appearing in comic books published by Marvel Comics.",,"http://x.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581/standard_xlarge.jpg","Amadeus Cho","{Hercules}","{Durability,Endurance,Genius-level intellect,Longevity,Superhuman strength,Wields adamantine mace}",26,3,12119,5,27,"{Amadeus Cho}","{}","Amadeus Cho","{Illuminati,Mighty Avengers,New Warriors,Olympus Group,Renegades,The Mighty Avengers,World War Hulk,Young Avengers}","http://marvel.com/characters/2804/amadeus_cho","https://en.wikipedia.org/wiki/Amadeus_Cho"
"{Amanda,Amanda Sefton,Daytripper,Magik,Sefton}","{Chris Claremont,Dave Cockrum}","Amanda Sefton (real name Jimaine Szardos) (also known as Daytripper and the second Magik) is a fictional character, a witch in the Marvel Universe.",,"http://i.annihil.us/u/prod/marvel/i/mg/f/b0/4c003414d6535/standard_xlarge.jpg","Magik (Amanda Sefton)","{}","{Force bolts,Hypnosis,Hypnotism,Illusion generation,Magic,Magic (paranormal),Shapeshifting,Soulsword,Teleportation}",2,2,1557,2,3,"{Jimaine Szardos}","{}","Magik","{Avengers,Excalibur,Muir Island X-Men,X-Men}","http://marvel.com/characters/1325/magik","https://en.wikipedia.org/wiki/Amanda_Sefton"
"{Ama-no-kagaseo,Chaos King,Mikaboshi}","{Michael Avon Oeming,Michael Oeming,Scott Kolins}","Amatsu-Mikaboshiis a fictional character in the Marvel Comics Universe, a supervillain and demonic god of evil who is best known as an enemy of Hercules and Thor.",,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Mikaboshi2.jpg/200px-Mikaboshi2.jpg","Amatsu-Mikaboshi","{}","{Demonic mystical powers,Flight,Immortality,Including immortals,Invulnerability,Movement,Shapeshifting,Speed,Strength}",0,0,2949,0,0,"{Amatsu-Mikaboshi}","{}","Amatsu-Mikaboshi","{God Squad}",,"https://en.wikipedia.org/wiki/Amatsu-Mikaboshi_(comics)"
"{Amber Hunt,En Flame,Moonchild,The Phoenix}","{R.R. Phipps,Steve Gerber}","Amber Hunt is a fictional character from Malibu Comics' Exiles comic book series, created by Steve Gerber.",,"https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Amber_Hunt.jpg/220px-Amber_Hunt.jpg","Amber Hunt","{}","{Astral projection,Flight,Light manipulation,Precognition,Psychokinesis,Pyrokinesis,Telekinesis}",0,0,362,0,0,"{Amber Hunt}","{}","Amber Hunt","{Exiles,The All-New Exiles}",,"https://en.wikipedia.org/wiki/Amber_Hunt_(comics)"
"{Amelia Voght}","{John Romita Jr,John Romita Jr.,Scott Lobdell}","Amelia C.",,"https://upload.wikimedia.org/wikipedia/en/c/cd/XMEN_AmeliaVoght.jpg","Amelia Voght","{}","{Can turn herself,Teleportation}",0,0,795,0,0,"{Amelia C. Voght}","{Mutant}","Amelia Voght","{Acolytes,Genosha,Genoshan Cabinet}",,"https://en.wikipedia.org/wiki/Amelia_Voght"
"{Miss America}","{Al Gabriele,Otto Binder}",,,"https://upload.wikimedia.org/wikipedia/en/thumb/8/88/MissAmericaComics_n1_1944.jpg/200px-MissAmericaComics_n1_1944.jpg","America Chavez","{}","{Enhanced stamina,Flight,Superhuman strength,X-ray vision}",0,0,646,0,0,"{Madeline Joyce}","{}","America Chavez","{All-Winners Squad,Invaders,Liberty Legion}",,"https://en.wikipedia.org/wiki/America_Chavez"
"{American Ace}","{Paul Lauretta}","American Ace (Perry Webb) is a fictional character in the Marvel Comics Universe.",,,"American Ace","{}","{}",0,0,439,0,0,"{Perry Webb}","{}","American Ace","{}",,"https://en.wikipedia.org/wiki/American_Ace"
"{American Dream}","{Brent Anderson,Tom DeFalco}","American Dream (Shannon Carter) is a fictional character featured in Marvel Comics MC2 series A-Next.",,"https://upload.wikimedia.org/wikipedia/en/thumb/5/50/American_Dream_%28Shannon_Carter%29.jpg/200px-American_Dream_%28Shannon_Carter%29.jpg","American Dream","{}","{Olympic level athlete,Peak physical condition,Skilled martial artist,Superb aim,Use of disc weapons}",0,0,1366,0,0,"{Shannon Carter}","{}","American Dream","{A-Next,Dream Team}",,"https://en.wikipedia.org/wiki/American_Dream_(comics)"
"{American Eagle}","{Doug Moench,Ron Wilson}","American Eagle (Jason Strongbow) is a fictional character, a Native American superhero in the Marvel Comics universe.",,"http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a/standard_xlarge.jpg","American Eagle","{}","{Agility,Enhanced senses,Speed,Stamina,Sturdiness,Superhuman strength}",5,0,782,1,5,"{Jason Strongbow}","{}","American Eagle","{H.A.M.M.E.R,Navajo Nation Division of Public Safety}","http://marvel.com/characters/132/american_eagle","https://en.wikipedia.org/wiki/American_Eagle_(Marvel_Comics)"
"{Americop,actual identities the character uses}","{Dave Hoover,Mark Gruenwald}","Americop (Bartholomew Gallows) is a fictional vigilante published by Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Americop.jpg/250px-Americop.jpg","Americop","{}","{Marksman,Martial artist,Trained,Trained marksman}",0,0,407,0,0,"{Bart,Bartholomew Gallows}","{}","Americop","{Houston Police Department}",,"https://en.wikipedia.org/wiki/Americop"
"{Aminedi}","{Fabian Nicieza,Kirk Jarvinen}","Aminedi (also known as Aminedi, The Invisible One) is a fictional character, a mutant in the Marvel Comics Universe.",,"https://upload.wikimedia.org/wikipedia/en/b/bc/Aminedi_001.jpg","Aminedi","{}","{Superhuman speed}",0,0,271,0,0,"{}","{Mutant}","Aminedi","{Desert Sword}",,"https://en.wikipedia.org/wiki/Aminedi"
"{Amphibian}","{Gary Frank,J. Michael Straczynski,Steve Engelhart}","Amphibian is the name of two different fictional characters that have appeared in publications from Marvel Comics.The first Amphibian debuted as a member of the team of superheroes called the Squadron Supreme in Avengers (vol. 1) #148 (June 1976).",,"https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Amphibiansqsup001.jpg/125px-Amphibiansqsup001.jpg","Amphibian","{}","{Metamorphic abilities,Sharp claws,Superhuman strength,Telepathy}",0,0,818,0,0,"{Kingsley Rice,Kingsley Rice (female),Kingsley Rice (male)}","{}","Amphibian","{Squadron Supreme,Squadron Supreme of Earth-31916,Squadron Supreme of Earth-712}",,"https://en.wikipedia.org/wiki/Amphibian_(comics)"
"{Amphibion}","{Jack Kirby,Stan Lee}","Amphibion is a fictional character in the Marvel Universe.",,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Amphibion.jpg/250px-Amphibion.jpg","Amphibion","{}","{On the surface,Superhuman strength}",0,0,378,0,0,"{Qnax}","{}","Amphibion","{Hulk-Hunters}",,"https://en.wikipedia.org/wiki/Amphibion"
"{Anachronism}","{Dennis Hopeless,Kev Walker}","Anachronism (Aiden) is a fictional character from Marvel Comics.",,,"Anachronism","{}","{}",0,0,487,0,0,"{Aiden}","{}","Anachronism","{}",,"https://en.wikipedia.org/wiki/Anachronism_(comics)"
"{Anaconda}","{Mark Gruenwald,Ralph Macchio}","Anaconda (Blanche Sitznski) is a supervillain in the Marvel Comics universe.",,"https://upload.wikimedia.org/wikipedia/en/3/3f/Anaconda_Battle_Scars.jpg","Anaconda","{}","{Durability,Excellent swimmer,Limb elongation,Rapid regeneration,Skilled street fighter,Superhuman strength,Underwater breathing}",0,0,1032,0,0,"{Blanche Sitznski}","{Mutated Human}","Anaconda","{Femizons,Legion Accursed,Serpent Society,Serpent Squad,Six Pack}",,"https://en.wikipedia.org/wiki/Anaconda_(comics)"
"{Andrew Forson,Scientist Supreme}","{Jonathan Hickman,Ryan Stegman}","Andrew Forson is a fictional character from Marvel Comics.",,,"Andrew Forson","{}","{Genius-level intellect}",0,0,559,0,0,"{Andrew Forson}","{}","Andrew Forson","{A.I.M,Advanced Idea Mechanics,Cult of Entropy}",,"https://en.wikipedia.org/wiki/Andrew_Forson"
